url,local_path,status,notes
https://hub.ag3nts.org/dane/doc/dodatkowe-wagony.md,raw\dane\doc\dodatkowe-wagony.md,downloaded,ok
https://hub.ag3nts.org/dane/doc/index.md,raw\dane\doc\index.md,downloaded,ok
https://hub.ag3nts.org/dane/doc/trasy-wylaczone.png,raw\dane\doc\trasy-wylaczone.png,downloaded,ok
https://hub.ag3nts.org/dane/doc/zalacznik-A.md,raw\dane\doc\zalacznik-A.md,downloaded,ok
https://hub.ag3nts.org/dane/doc/zalacznik-B.md,raw\dane\doc\zalacznik-B.md,downloaded,ok
https://hub.ag3nts.org/dane/doc/zalacznik-C.md,raw\dane\doc\zalacznik-C.md,downloaded,ok
https://hub.ag3nts.org/dane/doc/zalacznik-D.md,raw\dane\doc\zalacznik-D.md,downloaded,ok
https://hub.ag3nts.org/dane/doc/zalacznik-E.md,raw\dane\doc\zalacznik-E.md,downloaded,ok
https://hub.ag3nts.org/dane/doc/zalacznik-F.md,raw\dane\doc\zalacznik-F.md,downloaded,ok
https://hub.ag3nts.org/dane/doc/zalacznik-G.md,raw\dane\doc\zalacznik-G.md,downloaded,ok
https://hub.ag3nts.org/dane/doc/zalacznik-H.md,raw\dane\doc\zalacznik-H.md,downloaded,ok
